"","Name.of.School","Environment Rating","Instruction Rating","Leadership Rating","Collaboration Rating","Safety Rating","Family Rating","Median Income","H.S.Graduation %","Estimate of Pop. At or Above Poverty Line who Did Not Receive Food Stamps","Estimate of Aggregate Earnings","2014 NWEA Reading Gr.3 Pct","2015 NWEA Reading Gr.3 Pct","2016 NWEA Reading Gr.3 Pct","2014 NWEA Math Gr.3 Pct","2015 NWEA Math Gr.3 Pct","2016 NWEA Math Gr.3 Pct","Longitude","Latitude"
"1","Academy for Global Citizenship Elementary School","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA",40829,60.4,15934,1179638500,NA,51,31,NA,41,15,"-87.74009675"," 41.80755107"
"2","Alain Locke Charter Elementary Academy","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA",37137,82.2,7584,687485100,NA,72,NA,NA,57,NA,"-87.70524106"," 41.87722085"
"3","Catalyst Elementary School - Circle Rock","NEUTRAL","NEUTRAL","NEUTRAL","NEUTRAL","NEUTRAL","WEAK",26892,76.3,7824,540042100,7,14,25,15,14,23,"-87.76534092"," 41.88234944"
"4","Chicago Intl Charter - Avalon / South Shore","VERY WEAK","NEUTRAL","WEAK","NEUTRAL","WEAK","NEUTRAL",32024,87.6,14258,848998100,85,51,93,77,86,94,"-87.58788286"," 41.74315245"
"5","Chicago Intl Charter - Basil","WEAK","WEAK","VERY WEAK","VERY WEAK","WEAK","WEAK",32721,70.7,11193,792396800,59,59,55,63,57,54,"-87.67023496"," 41.79407037"
"6","Chicago Intl Charter - Bucktown","NEUTRAL","WEAK","NEUTRAL","WEAK","NEUTRAL","NEUTRAL",61028,85.3,26587,2824154900,40,80,71,24,83,59,"-87.68132064"," 41.92239845"
"7","Chicago Intl Charter - Loomis Primary","NOT ENOUGH DATA","NOT ENOUGH DATA","WEAK","WEAK","NOT ENOUGH DATA","NEUTRAL",59686,90.6,13631,1165721000,NA,NA,NA,NA,NA,NA,"-87.65752453"," 41.72025066"
"8","Chicago Intl Charter - Irving Park","NEUTRAL","WEAK","WEAK","NEUTRAL","STRONG","STRONG",62102,81.8,29192,3008747400,98,54,46,93,48,46,"-87.7105295"," 41.95090201"
"9","Chicago Intl Charter - Prairie","WEAK","WEAK","WEAK","WEAK","NEUTRAL","WEAK",35654,84.6,12953,880028700,79,21,34,71,19,27,"-87.61692508"," 41.68444316"
"10","Chicago Intl Charter - Washington Park","WEAK","WEAK","WEAK","NEUTRAL","VERY WEAK","WEAK",27091,86.2,9519,809803000,73,47,56,62,49,47,"-87.62203124"," 41.78359459"
